symbol,timeframe,status,cluster,data_source,n_signals,n_folds,rows,trials,best_ev,best_atr_sl_mult,best_atr_tp_mult,best_breakeven_atr,best_trail_activation_atr,best_trail_distance_atr,best_horizon,cost_bps,fee_bps,spread_bps,slippage_bps,best_risk_pct
US30.cash,M1,ok,index,bars,52388,36,100068,200,-1.4810284295126739,2.472521245691499,4.63796641813206,1.143161954507228,1.8170835580755416,1.7252380752997831,20,5.0,0.0,2.0,1.5,0.005555948017032754
US30.cash,M15,ok,index,bars,51670,79,100223,200,-0.1370645694456911,1.5273267141244171,6.236801911734378,1.4634445329454389,3.7968710257353613,0.3261251534577773,18,5.0,0.0,2.0,1.5,0.0053786059275689226
US30.cash,M30,ok,index,bars,41254,96,80166,200,0.00961699313940523,1.1418011411604292,7.567046343390499,0.7583974959576382,3.065651539617751,0.3648649438368479,11,5.0,0.0,2.0,1.5,0.00640285514249184
USOIL.cash,H1,ok,commodity,bars,302,97,30396,200,1.2186381174277436,1.1073290394927076,7.313673559180973,1.2866169437243158,3.9121982897910628,1.9851350101834657,30,10.0,0.0,4.0,3.0,0.02625623736049484
USOIL.cash,H4,ok,commodity,bars,4556,98,8092,200,18.043058018557453,1.8860623273766157,6.932018005297423,0.43523270449565377,1.0023773563166953,1.971437136555181,34,10.0,0.0,4.0,3.0,0.019388210730093083
USOIL.cash,M1,ok,commodity,bars,51470,36,100068,200,-0.9706080099942428,2.498629768916427,6.791701087823817,1.1220849033566282,3.9097960489646524,0.9375923879694725,22,10.0,0.0,4.0,3.0,0.005043636915870025
USOIL.cash,M15,ok,commodity,bars,52789,80,101335,200,-0.08271786441528357,2.024218875559029,6.08917015029344,1.4306342462610022,3.822098546187531,0.5346737158685624,23,10.0,0.0,4.0,3.0,0.009556830742771723
USOIL.cash,M30,ok,commodity,bars,31082,70,59383,200,0.03765821037953431,2.0013671970935616,6.839621268408047,1.1150984916311704,2.201056973568693,1.1135829352850344,30,10.0,0.0,4.0,3.0,0.013254323073511825
V,H1,ok,equity,bars,4884,29,9841,200,2.9713650182103244,2.3542230581860104,3.02225967932403,0.3293082911824167,1.2429473290905104,1.5885951045603715,30,8.4,0.4,3.0,2.5,0.029971197996934828
V,H4,ok,equity,bars,1631,33,2912,200,25.469715724513396,0.8676684970166402,7.358725375482393,0.47605470116620346,1.0837133486732944,1.6833335617292686,34,8.4,0.4,3.0,2.5,0.027301423375019174
V,M1,ok,equity,bars,46386,36,100179,200,-0.4826863468334308,2.3596623455605283,4.905739133671819,1.4695028093610394,2.1582766411342473,1.8474040395752105,26,8.4,0.4,3.0,2.5,0.005005998053213905
V,M15,ok,equity,bars,14318,21,30854,200,1.694457546559233,2.2963538125779888,7.82502296484506,0.8255044616964782,1.9841046825759188,0.33276222924454046,10,8.4,0.4,3.0,2.5,0.011975315359229381
V,M30,ok,equity,bars,8029,16,16472,200,2.931647654749029,2.447591469048944,7.916474425386984,0.7721679452192629,1.8773488818171375,1.217486297945197,35,8.4,0.4,3.0,2.5,0.013398436754587911
margin_leverage,H1,no_data,index,,,,,,,,,,,,,,,,,
margin_leverage,H4,no_data,index,,,,,,,,,,,,,,,,,
margin_leverage,M1,no_data,index,,,,,,,,,,,,,,,,,
margin_leverage,M15,no_data,index,,,,,,,,,,,,,,,,,
margin_leverage,M30,no_data,index,,,,,,,,,,,,,,,,,
