symbol,timeframe,year,thread,train_years,n_obs,n_trades,win_rate,sharpe,sortino,max_drawdown_pct,profit_factor,device,spread_bps,slippage_bps,total_cost_bps
US30.cash,M5,2026,1,2024-2025,9446,52,0.40384615384615385,-4.561408370918681,-8.836575749560334,-0.037286296998947255,0.5224319632989299,cuda,0.4632369971955916,4.0,7.463236997195592
US500.cash,H1,2026,1,2024-2025,772,144,0.4722222222222222,-2.032700189212164,-3.8737851231964546,-0.12268031826259296,0.7382345583946026,cuda,1.046691147608667,4.0,8.046691147608668
US500.cash,M1,2026,1,2024-2025,47180,14,0.5,-0.30785018917011625,-0.4699418765701595,-0.0044223292793690305,0.9546455844469169,cuda,1.046691147608667,4.0,8.046691147608668
US500.cash,M15,2026,1,2024-2025,3206,127,0.44881889763779526,-1.5470862584488156,-3.692567452639492,-0.06475571525572199,0.8046048660955359,cuda,1.046691147608667,4.0,8.046691147608668
US500.cash,M30,2026,1,2024-2025,1626,128,0.421875,-4.6721276631033115,-9.38306153036732,-0.13444893253089407,0.5132083562510231,cuda,1.046691147608667,4.0,8.046691147608668
US500.cash,M5,2026,1,2024-2025,9591,68,0.36764705882352944,-6.714293600621721,-16.630224755347566,-0.07584844526297962,0.40243479885588357,cuda,1.046691147608667,4.0,8.046691147608668
USD_CAD,H1,2026,1,2024-2025,817,45,0.5333333333333333,-3.096659085910953,-8.37547421949718,-0.031042943765110187,0.6501084284432072,cuda,0.44250724605577796,3.0,6.4425072460557775
USD_CAD,M1,2026,1,2024-2025,50777,0,0.0,0.0,0.0,0.0,0.0,cuda,0.44250724605577796,3.0,6.4425072460557775
USD_CAD,M15,2026,1,2024-2025,3351,18,0.3333333333333333,-7.3199898976926,-23.318309706999973,-0.015468093563559826,0.381162659401452,cuda,0.44250724605577796,3.0,6.4425072460557775
USD_CAD,M30,2026,1,2024-2025,1662,37,0.2972972972972973,-9.434421365988648,-17.256357971111036,-0.04144307984662987,0.2674206983649729,cuda,0.44250724605577796,3.0,6.4425072460557775
USD_CAD,M5,2026,1,2024-2025,10097,0,0.0,0.0,0.0,0.0,0.0,cuda,0.44250724605577796,3.0,6.4425072460557775
USD_CHF,H1,2026,1,2024-2025,836,79,0.4810126582278481,-4.248222692017787,-9.234893805677148,-0.07200883426026361,0.5502869692832736,cuda,0.7569545196500347,3.0,6.7569545196500345
USD_CHF,M1,2026,1,2024-2025,50153,0,0.0,0.0,0.0,0.0,0.0,cuda,0.7569545196500347,3.0,6.7569545196500345
USD_CHF,M15,2026,1,2024-2025,3303,50,0.4,-6.012649126855955,-9.54121048384056,-0.044776179289163,0.4064080772386838,cuda,0.7569545196500347,3.0,6.7569545196500345
USD_CHF,M30,2026,1,2024-2025,1685,65,0.46153846153846156,-4.937931916579402,-10.22820207586339,-0.04601453876609807,0.4879330707895293,cuda,0.7569545196500347,3.0,6.7569545196500345
USD_CHF,M5,2026,1,2024-2025,9994,10,0.4,-6.96160230865176,-19.596217895831348,-0.007513109949768615,0.37814170362187155,cuda,0.7569545196500347,3.0,6.7569545196500345
USD_CZK,H1,2026,1,2024-2025,821,38,0.42105263157894735,-6.134803565912623,-17.603082660818192,-0.056517171869448046,0.42376050249036024,cuda,6.337305306378557,3.0,12.337305306378557
USD_CZK,M1,2026,1,2024-2025,49850,0,0.0,0.0,0.0,0.0,0.0,cuda,6.337305306378557,3.0,12.337305306378557
USD_CZK,M15,2026,1,2024-2025,3249,1,0.0,0.0,0.0,0.0,0.0,cuda,6.337305306378557,3.0,12.337305306378557
